try,second
700,0.0072115
701,0.0072226
702,0.0067507
703,0.00686
704,0.0068138
705,0.0072013
706,0.0073128
707,0.0070787
708,0.0071836
709,0.0069003
710,0.0068278
711,0.006913
712,0.0068394
713,0.0068064
714,0.006769
715,0.0072798
716,0.0138686
717,0.007268
718,0.0068455
719,0.0068271
720,0.0069895
721,0.0067293
722,0.0078288
723,0.0068296
724,0.0067572
725,0.0067435
726,0.0069414
727,0.0070098
728,0.0068462
729,0.0071394
730,0.0066778
731,0.0071817
732,0.0067606
733,0.0071435
734,0.0069062
735,0.0094403
736,0.009673
737,0.0069285
738,0.0067683
739,0.0068265
740,0.0067576
741,0.0071326
742,0.0070359
743,0.0069493
744,0.0067633
745,0.00677
746,0.0068421
747,0.0067531
748,0.0073984
749,0.0069012
750,0.0070222
751,0.0172017
752,0.0130532
753,0.0090932
754,0.0073824
755,0.007058
756,0.0068972
757,0.006862
758,0.0070086
759,0.0068976
760,0.006936
761,0.0068381
762,0.0067938
763,0.0070422
764,0.0068615
765,0.0067805
766,0.0073403
767,0.0130365
768,0.011883
769,0.0077054
770,0.0069997
771,0.0068965
772,0.0071448
773,0.0121169
774,0.0144723
775,0.0091655
776,0.0072839
777,0.0069906
778,0.0067939
779,0.0069361
780,0.006764
781,0.0071644
782,0.0070735
783,0.0071248
784,0.0123167
785,0.0131954
786,0.008523
787,0.0073809
788,0.0068962
789,0.0070272
790,0.0069828
791,0.0070793
792,0.0068453
793,0.0090595
794,0.0146298
795,0.0108796
796,0.0074007
797,0.0067001
798,0.0068968
799,0.0068859
800,0.0116444
801,0.0104891
802,0.0074957
803,0.0069243
804,0.0068349
805,0.0068925
806,0.0072402
807,0.0074215
808,0.0067052
809,0.0067982
810,0.0067746
811,0.006752
812,0.0067853
813,0.0071043
814,0.0070028
815,0.0074491
816,0.0121626
817,0.0117735
818,0.0081912
819,0.0068815
820,0.0069284
821,0.0071879
822,0.0069038
823,0.0104717
824,0.0096295
825,0.0069336
826,0.007157
827,0.0168372
828,0.0156034
829,0.0105248
830,0.0073195
831,0.006853
832,0.0069305
833,0.0069365
834,0.006908
835,0.014767
836,0.0126175
837,0.0157436
838,0.0107802
839,0.0068642
840,0.0069728
841,0.0069833
842,0.006979
843,0.00738
844,0.007351
845,0.007274
846,0.0072073
847,0.0072707
848,0.007072
849,0.0069666
850,0.00681
851,0.0067754
852,0.0068539
853,0.0067754
854,0.0069558
855,0.0072753
856,0.0067488
857,0.0067827
858,0.0069532
859,0.006819
860,0.0183476
861,0.007224
862,0.0069195
863,0.0067663
864,0.0067866
865,0.006763
866,0.0068014
867,0.0068129
868,0.006779
869,0.0067765
870,0.0067998
